inDocumentsCount	rawFreq	relativeFreq	comparisonRelativeFreqDifference	relativePeakedness	relativeSkewness	distributions/0	term
discrete	continuous	continuous	discrete	continuous	continuous	continuous	string
1	5.0	0.00036289738	0			0.00036289738	suivants
1	5.0	0.00036289738	0			0.00036289738	s’agit
1	5.0	0.00036289738	0			0.00036289738	travaillez
1	5.0	0.00036289738	0			0.00036289738	veut
1	5.0	0.00036289738	0			0.00036289738	voire
1	4.0	0.0002903179	0			0.0002903179	200
1	4.0	0.0002903179	0			0.0002903179	35
1	4.0	0.0002903179	0			0.0002903179	5
1	4.0	0.0002903179	0			0.0002903179	70
1	4.0	0.0002903179	0			0.0002903179	acquisition
1	4.0	0.0002903179	0			0.0002903179	actuel
1	4.0	0.0002903179	0			0.0002903179	actuellement
1	4.0	0.0002903179	0			0.0002903179	assurance
1	4.0	0.0002903179	0			0.0002903179	atout
1	4.0	0.0002903179	0			0.0002903179	attirer
1	4.0	0.0002903179	0			0.0002903179	auto
1	4.0	0.0002903179	0			0.0002903179	autrement
1	4.0	0.0002903179	0			0.0002903179	bons
1	4.0	0.0002903179	0			0.0002903179	calculer
1	4.0	0.0002903179	0			0.0002903179	célibataire
1	4.0	0.0002903179	0			0.0002903179	clients
1	4.0	0.0002903179	0			0.0002903179	cohérent
1	4.0	0.0002903179	0			0.0002903179	comment
1	4.0	0.0002903179	0			0.0002903179	compliqué
1	4.0	0.0002903179	0			0.0002903179	condition
1	4.0	0.0002903179	0			0.0002903179	conseillé
1	4.0	0.0002903179	0			0.0002903179	consenti
1	4.0	0.0002903179	0			0.0002903179	constitué
1	4.0	0.0002903179	0			0.0002903179	contracter
1	4.0	0.0002903179	0			0.0002903179	contraire
1	4.0	0.0002903179	0			0.0002903179	correspond
1	4.0	0.0002903179	0			0.0002903179	d'apport
1	4.0	0.0002903179	0			0.0002903179	d'autres
1	4.0	0.0002903179	0			0.0002903179	davantage
1	4.0	0.0002903179	0			0.0002903179	demandé
1	4.0	0.0002903179	0			0.0002903179	défaillance
1	4.0	0.0002903179	0			0.0002903179	dépend
1	4.0	0.0002903179	0			0.0002903179	disposer
1	4.0	0.0002903179	0			0.0002903179	disposez
1	4.0	0.0002903179	0			0.0002903179	doivent
1	4.0	0.0002903179	0			0.0002903179	durées
1	4.0	0.0002903179	0			0.0002903179	d’abord
1	4.0	0.0002903179	0			0.0002903179	d’achat
1	4.0	0.0002903179	0			0.0002903179	d’être
1	4.0	0.0002903179	0			0.0002903179	d’intérêt
1	4.0	0.0002903179	0			0.0002903179	élevés
1	4.0	0.0002903179	0			0.0002903179	étudiant
1	4.0	0.0002903179	0			0.0002903179	façon
1	4.0	0.0002903179	0			0.0002903179	familiale
1	4.0	0.0002903179	0			0.0002903179	famille
1	4.0	0.0002903179	0			0.0002903179	financiers
1	4.0	0.0002903179	0			0.0002903179	fonciers
1	4.0	0.0002903179	0			0.0002903179	fort
1	4.0	0.0002903179	0			0.0002903179	gagner
1	4.0	0.0002903179	0			0.0002903179	grâce
1	4.0	0.0002903179	0			0.0002903179	haut
1	4.0	0.0002903179	0			0.0002903179	immobilière
1	4.0	0.0002903179	0			0.0002903179	importante
1	4.0	0.0002903179	0			0.0002903179	indéterminée
1	4.0	0.0002903179	0			0.0002903179	inférieur
1	4.0	0.0002903179	0			0.0002903179	jeunes
1	4.0	0.0002903179	0			0.0002903179	jouer
1	4.0	0.0002903179	0			0.0002903179	là
1	4.0	0.0002903179	0			0.0002903179	locatifs
1	4.0	0.0002903179	0			0.0002903179	long
1	4.0	0.0002903179	0			0.0002903179	l’avenir
1	4.0	0.0002903179	0			0.0002903179	l’épargne
1	4.0	0.0002903179	0			0.0002903179	l’établissement
1	4.0	0.0002903179	0			0.0002903179	l’obtention
1	4.0	0.0002903179	0			0.0002903179	meilleure
1	4.0	0.0002903179	0			0.0002903179	mettre
1	4.0	0.0002903179	0			0.0002903179	métier
1	4.0	0.0002903179	0			0.0002903179	moindre
1	4.0	0.0002903179	0			0.0002903179	nets
1	4.0	0.0002903179	0			0.0002903179	nécessaire
1	4.0	0.0002903179	0			0.0002903179	nécessaires
1	4.0	0.0002903179	0			0.0002903179	n’avez
1	4.0	0.0002903179	0			0.0002903179	particulièrement
1	4.0	0.0002903179	0			0.0002903179	partir
1	4.0	0.0002903179	0			0.0002903179	pel
1	4.0	0.0002903179	0			0.0002903179	percevez
1	4.0	0.0002903179	0			0.0002903179	personnes
